aaa21,Edit ,toronto,ON,Canada,Non-owner,31 Mar 2016,Eastern Time,6:00 PM,In-Store,27 Mar 2018,7 Apr 2018,,,,,Solid Black,19 inch Sport,Enhanced Autopilot,,,Mid 2018,RWD,Black,PUP,LR,,7 Apr 2018,,,,Configured,,,
Aaaaaaaaaaaaaaaa,Edit ,Seattle ,WA,USA,Non-owner,31 Mar 2016,Pacific Time,5:57 PM,In-Store,,,,,,,,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Late 2018,,,,LR,,7 Feb 2018,,,, Not yet invited,,,
aadams1278,Edit ,Wilson,NC,USA,Non-owner,14 Feb 2018,Pacific Time,6:00 AM,Online,,,,,,,Silver Metallic,18 inch Aero,Enhanced Autopilot,Late 2018,,,RWD,Black,PUP,LR,,20 Mar 2018,,,, Not yet invited,,,
AAinSoCal,Edit ,Los Angeles,CA,USA,Non-owner,31 Mar 2016,Pacific Time,8:30 PM,Online,,,,,,,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,Apr 2018 - Jun 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,28 Mar 2018,,,, Not yet invited,,,
aalexorr,Edit ,Haverford,PA,USA,Non-owner,31 Mar 2016,Eastern Time,12:00 PM,In-Store,22 Mar 2018,23 Mar 2018,,,,,Solid Black,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,25 Mar 2018,,,,Configured,,,
aardvark,Edit ,Los Angeles,CA,USA,Non-owner,31 Mar 2016,Pacific Time,10:30 AM,In-Store,22 Feb 2018,22 Feb 2018,100xx,10055,13 Mar 2018,22 Mar 2018,Pearl White Multi-Coat,19 inch Sport,Enhanced Autopilot,,,,RWD,Black,PUP,LR,,14 Mar 2018,,,22 Mar 2018,Delivered,28 days,19 days,9 days
Aargau,Edit,San Jose,CA,USA,Owner or previous owner,31 Mar 2016,Pacific Time,3:00 PM,In-Store,15 Dec 2017,,28xx,2855,15 Dec 2017,13 Jan 2018,Midnight Silver Metallic,19 inch Sport,Full Self-Driving,,,,,,,,,31 Jan 2018,,,13 Jan 2018,Delivered,,,29 days
aarjaiy,Edit ,San Jose,CA,USA,Non-owner,31 Mar 2016,Pacific Time,9:05 AM,In-Store,22 Feb 2018,22 Feb 2018,,,,,Red Multi-Coat,18 inch Aero,Full Self-Driving,,,,RWD,Black,PUP,LR,,18 Mar 2018,,,27 Mar 2018,Delivered,,,
Aaron Cunningham,Edit ,Cincinnati,OH,USA,Non-owner,31 Mar 2016,Eastern Time,5:30 PM,In-Store,6 Apr 2018,6 Apr 2018,1532x,15325,,,Silver Metallic,19 inch Sport,Full Self-Driving,Apr 2018 - Jun 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,6 Apr 2018,,,,Configured,,,
aaron0k,Edit,Los Angeles,CA,USA,Owner or previous owner,31 Mar 2016,Pacific Time,12:00 PM,In-Store,22 Nov 2017,25 Nov 2017,193x,1935,29 Dec 2017,31 Dec 2017,Red Multi-Coat,19 inch Sport,None,,,,,,,,,31 Jan 2018,,,31 Dec 2017,Delivered,36 days,34 days,2 days
aarongldng,Edit ,San Jose,CA,USA,Non-owner,31 Mar 2016,Pacific Time,10:00 AM,In-Store,25 Mar 2018,25 Mar 2018,,,,,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Mid 2018,RWD,Black,PUP,LR,,25 Mar 2018,,,,Configured,,,
aaronkalb ,Edit ,Mountain Lakes,NJ,USA,Owner or previous owner,31 Mar 2016,Pacific Time,7:25 AM,In-Store,4 Jan 2018,14 Jan 2018,39xx,3955,24 Jan 2018,5 Feb 2018,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,,,,RWD,Black,PUP,LR,,21 Mar 2018,,,5 Feb 2018,Delivered,22 days,10 days,12 days
aaronkalb  (2),Edit ,Mountain Lakes,NJ,USA,Owner or previous owner,31 Mar 2016,Pacific Time,7:25 AM,In-Store,17 Jan 2018,8 Feb 2018,679x,6795,6 Mar 2018,26 Mar 2018,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,,,,RWD,Black,PUP,LR,,21 Mar 2018,,,26 Mar 2018,Delivered,46 days,26 days,20 days
aaronse,Edit ,Seattle,WA,USA,Non-owner,31 Mar 2016,Pacific Time,11:30 AM,In-Store,22 Mar 2018,22 Mar 2018,144xx,14455,8 Apr 2018,,Red Multi-Coat,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Mid 2018,RWD,Black,PUP,LR,,8 Apr 2018,,,,Configured,,17 days,
aaydemi,Edit,Los Angeles,CA,USA,Owner or previous owner,31 Mar 2016,Pacific Time,,In-Store,14 Dec 2017,,,,,,,,,,,,RWD,White,PUP,SR,waiting for SR battery and white interior,31 Jan 2018,,,,.Deferring,,,
AB3DC,Edit ,Ann Arbor,MI,USA,Non-owner,31 Mar 2016,Eastern Time,10:23 PM,Online,6 Apr 2018,,,,,,Red Multi-Coat,18 inch Aero,Enhanced Autopilot,Apr 2018 - Jun 2018,Late 2018,Late 2018,RWD,White,PUP,LR,Already configured using cousin's reservation. See VU3DCY,6 Apr 2018,,,,.Deferring,,,
abrighton,Edit ,Toronto,ON,Canada,Non-owner,1 Apr 2016,Eastern Time,8:00 AM,Online,27 Mar 2018,27 Mar 2018,,,,,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,Mid 2018,,,RWD,Black,Standard,LR,,27 Mar 2018,,,,Configured,,,
ABVA,Edit,Northern VA,VA,USA,Owner or previous owner,1 Apr 2016,Pacific Time,7:00 AM,Online,4 Jan 2018,4 Jan 2018,,,,,Deep Blue Metallic,19 inch Sport,Enhanced Autopilot,,,,RWD,,PUP,LR,,31 Jan 2018,,,6 Feb 2018,Delivered,,,
AC,Edit ,Tustin,CA,USA,Non-owner,31 Mar 2016,Pacific Time,12:30 PM,In-Store,22 Mar 2018,22 Mar 2018,157xx,15755,6 Apr 2018,16 Apr 2018,Pearl White Multi-Coat,19 inch Sport,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,10 Apr 2018,,,,Del scheduled,25 days,15 days,10 days
AC2DC,Edit,Milwaukee,WI,USA,Non-owner,31 Mar 2016,Pacific Time,8:30 PM,Online,,,,,,,,,Enhanced Autopilot,Apr 2018 - Jun 2018,,,AWD,Black,PUP,LR,,31 Jan 2018,,,, Not yet invited,,,
acares,Edit ,Chicago,IL,USA,Non-owner,31 Mar 2016,Central Time,10:10 AM,In-Store,22 Feb 2018,22 Feb 2018,117xx,11755,30 Mar 2018,,Red Multi-Coat,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Mid 2018,RWD,,,,,30 Mar 2018,,,27 Mar 2018,Delivered,,36 days,
AccelAdvent,Edit ,Dallas,TX,USA,Non-owner,31 Mar 2016,Eastern Time,11:05 AM,In-Store,22 Feb 2018,22 Feb 2018,836x,8365,10 Mar 2018,27 Mar 2018,Red Multi-Coat,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,27 Mar 2018,,,27 Mar 2018,Delivered,33 days,16 days,17 days
AccelAdvent (2),Edit ,Dallas,TX,USA,Non-owner,19 Apr 2017,Central Time,10:33 AM,Online,,,,,,,,,,Aug 2018 - Oct 2018,Early 2019,Late 2018,,,,,,27 Mar 2018,,,, Not yet invited,,,
ace0fclub5,Edit ,Los Angeles,CA,USA,Non-owner,1 Apr 2016,Pacific Time,10:00 AM,Online,,,,,,,,,,,,,,,,,,9 Apr 2018,,,, Not yet invited,,,
ACeballos,Edit,San Diego,CA,USA,Non-owner,21 Oct 2016,Pacific Time,,Online,,,,,,,Pearl White Multi-Coat,18 inch Aero,None,Jul 2018 - Sep 2018,,,RWD,Black,PUP,LR,,31 Jan 2018,,,, Not yet invited,,,
aces,Edit ,Vancouver,BC,Canada,Non-owner,31 Mar 2016,Pacific Time,1:00 PM,In-Store,27 Mar 2018,,,,,,Pearl White Multi-Coat,18 inch Aero,None,Mid 2018,Early 2019,Mid 2018,RWD,Black,PUP,LR,,12 Apr 2018,,,,.Deferring,,,
AceVolt,Edit,Palmdale,CA,USA,Owner or previous owner,31 Mar 2016,Pacific Time,2:00 PM,Online,15 Dec 2017,2 Jan 2018,28xx,2855,8 Jan 2018,18 Jan 2018,Midnight Silver Metallic,18 inch Aero,None,,,,RWD,Black,PUP,LR,,31 Jan 2018,,,18 Jan 2018,Delivered,16 days,6 days,10 days
AChomyn_,Edit ,Altadena_,CA,USA,Owner or previous owner,31 Jul 2017,Pacific Time,12:00 PM,Online,15 Feb 2018,15 Feb 2018,_84xx,8455,20 Mar 2018,29 Mar 2018,Solid Black,18 inch Aero,Enhanced Autopilot,Feb 2018 - Apr 2018,,,RWD,Black,PUP,LR,_,20 Mar 2018,,,29 Mar 2018,Delivered,42 days,33 days,9 days
achoudh1,Edit ,,MD,USA,Non-owner,1 Apr 2016,Pacific Time,9:00 AM,Online,,,,,,,,,,,,,,,,,,24 Mar 2018,,,, Not yet invited,,,
acl198,Edit,Seattle,WA,USA,Non-owner,31 Mar 2016,Pacific Time,8:15 PM,Online,,,,,,,,,,,,,,,,,,31 Jan 2018,,,, Not yet invited,,,
aclv2k18,Edit ,Las Vegas,NV,USA,Owner or previous owner,9 Apr 2016,Pacific Time,,Online,1 Feb 2018,5 Mar 2018,,,,,Silver Metallic,19 inch Sport,None,Nov 2017 - Jan 2018,,,,,,,,20 Mar 2018,,,7 Apr 2018,Delivered,,,
ACPark,Edit ,,AB,Canada,Non-owner,31 Mar 2016,Mountain Time,11:00 AM,In-Store,27 Mar 2018,,,,,,Pearl White Multi-Coat,18 inch Aero,Enhanced Autopilot,Apr 2018 - Jun 2018,Early 2019,Mid 2018,AWD,Black,PUP,LR,,27 Mar 2018,,,,.Deferring,,,
actong,Edit ,Odenton,MD,USA,Non-owner,1 Apr 2016,Eastern Time,7:45 AM,Online,,,,,,,,,,May 2018 - Jul 2018,,,,,,,,14 Apr 2018,,,, Not yet invited,,,
acuma50,Edit ,,NJ,USA,Owner or previous owner,31 Mar 2016,Pacific Time,,Online,18 Jan 2018,18 Jan 2018,512x,5125,4 Feb 2018,,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,,,,RWD,Black,Standard,LR,,5 Feb 2018,,,20 Feb 2018,Delivered,,17 days,
Adam D.,Edit ,Los Angeles,CA,USA,Owner or previous owner,31 Mar 2016,Pacific Time,,In-Store,4 Feb 2018,5 Feb 2018,85XX,8555,14 Mar 2018,28 Mar 2018,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,,,,RWD,Black,,LR,,22 Mar 2018,,,28 Mar 2018,Delivered,51 days,37 days,14 days
adamcoco,Edit ,Vancouver,BC,Canada,Non-owner,2 Apr 2016,Pacific Time,6:00 PM,Online,,,,,,,,,Enhanced Autopilot,Mid 2018,Early 2019,Mid 2018,,,,LR,,6 Apr 2018,,,, Not yet invited,,,
AdamH,Edit ,Birmingham,AL,USA,Non-owner,31 Mar 2016,Central Time,8:00 PM,Online,10 Apr 2018,10 Apr 2018,,,,,Midnight Silver Metallic,18 inch Aero,None,,,,RWD,Black,PUP,LR,,11 Apr 2018,,,,Configured,,,
AdamJWang,Edit ,United States,CA,USA,Non-owner,13 Apr 2016,Pacific Time,5:58 PM,Online,,,,,,,Midnight Silver Metallic,19 inch Sport,Enhanced Autopilot,Jun 2018 - Aug 2018,Early 2019,Late 2018,RWD,Black,PUP,LR,,8 Feb 2018,,,, Not yet invited,,,
Adepault,Edit ,Montreal ,QC,Canada,Non-owner,28 Jul 2016,Eastern Time,9:00 PM,Online,,,,,,,,,,,,,,,,,,10 Apr 2018,,,, Not yet invited,,,
adesguy,Edit ,Long Beach,CA,USA,Non-owner,31 Mar 2016,Pacific Time,10:00 AM,In-Store,22 Mar 2018,24 Mar 2018,,,,,Solid Black,18 inch Aero,Enhanced Autopilot,Feb 2018 - Apr 2018,,Mid 2018,RWD,Black,PUP,LR,"Wish I could guarantee AWD w/ full tax credits, but it's not looking good",9 Apr 2018,,,,Configured,,,
